Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
70165005                  ,1428811252,1104 Colonial Av,1104 ,1100,Colonial Av,Colonial Av,Norfolk                         ,VA  ,23507-1709,23507,150400,Single Family - Attached,0,1706,99800,219300,99800,219300,99800,219300,Aug 29 2001,170000
70165010                  ,1428811279,1110 Colonial Av,1110 ,1100,Colonial Av,Colonial Av,Norfolk                         ,VA  ,23507-1709,23507,150400,Single Family - Attached,0,1706,99400,219100,99400,219100,99400,219100,Nov 29 2014,0
70165015                  ,1428812304,1114 Colonial Av,1114 ,1100,Colonial Av,Colonial Av,Norfolk                         ,VA  ,23507-1709,23507,150400,Single Family - Attached,3700,2232,111700,308800,111700,308800,111700,308800,Jun 11 2009,234650
70171005                  ,1428816598,1316 Debree Av,1316 ,1300,Debree Av,Debree Av,Norfolk                         ,VA  ,23517-2127,23517,150400,Single Family - Attached,0,1640,94100,165800,94100,165800,94100,165800,Sep 30 1997,136900
70171007                  ,1428817600,1318 Debree Av,1318 ,1300,Debree Av,Debree Av,Norfolk                         ,VA  ,23517-2127,23517,150400,Single Family - Attached,2860,1722,94100,211400,94100,211400,94100,211400,Mar 19 1996,126000
70171009                  ,1428817613,1320 Debree Av,1320 ,1300,Debree Av,Debree Av,Norfolk                         ,VA  ,23517-2127,23517,150400,Single Family - Attached,0,1742,104000,214500,104000,214500,104000,214500,Apr 18 2011,319000
70171011                  ,1428817635,1322 Debree Av,1322 ,1300,Debree Av,Debree Av,Norfolk                         ,VA  ,23517-2127,23517,150400,Single Family - Attached,0,1640,94100,179400,94100,179400,94100,179400,Jan 15 2010,330000
70171013                  ,1428817647,1324 Debree Av,1324 ,1300,Debree Av,Debree Av,Norfolk                         ,VA  ,23517-2127,23517,150400,Single Family - Attached,0,1722,94100,207800,94100,207800,94100,207800,Dec  2 2013,0
70171015                  ,1428817669,1326 Debree Av,1326 ,1300,Debree Av,Debree Av,Norfolk                         ,VA  ,23517-2131,23517,150400,Single Family - Attached,0,1680,101300,216600,101300,216600,101300,216600,Mar  6 2014,200000
70175025                  ,1428812342,449 W Princess Anne Rd,449 ,400,W Princess Anne Rd,W Princess ,Norfolk                         ,VA  ,23517-2125,23517,150400,Single Family - Attached,0,1706,97900,219100,97900,219100,97900,219100,Mar 31 2000,157000
